34:51.9,Gyro: -0.91, Setpoint:0.00, Output: -22.25, linear: 0.00, LSteps: -347, RSteps: 52, RPM: 13.45
34:52.0,Gyro: -0.97, Setpoint:0.00, Output: -12.60, linear: 0.00, LSteps: -363, RSteps: 37, RPM: 5.32
34:52.0,Gyro: -0.88, Setpoint:0.00, Output: -12.41, linear: 0.00, LSteps: -363, RSteps: 37, RPM: 5.32
34:52.1,Gyro: -0.81, Setpoint:0.00, Output: -12.98, linear: 0.00, LSteps: -363, RSteps: 37, RPM: 5.32
34:52.1,Gyro: -0.81, Setpoint:0.00, Output: -12.98, linear: 0.00, LSteps: -363, RSteps: 37, RPM: 5.32
34:52.1,Gyro: -0.73, Setpoint:0.00, Output: -13.28, linear: 0.00, LSteps: -363, RSteps: 36, RPM: 2.51
34:52.1,Gyro: -0.56, Setpoint:0.00, Output: -14.30, linear: 0.00, LSteps: -364, RSteps: 36, RPM: 2.51
34:52.1,Gyro: -0.56, Setpoint:0.00, Output: -14.30, linear: 0.00, LSteps: -364, RSteps: 36, RPM: 2.51
34:52.1,Gyro: -0.50, Setpoint:0.00, Output: -14.54, linear: 0.00, LSteps: -364, RSteps: 36, RPM: 2.51
34:52.1,Gyro: -0.39, Setpoint:0.00, Output: -14.76, linear: 0.00, LSteps: -364, RSteps: 36, RPM: 2.51
34:52.1,Gyro: -0.39, Setpoint:0.00, Output: -14.76, linear: 0.00, LSteps: -365, RSteps: 35, RPM: 2.58
34:52.1,Gyro: -0.34, Setpoint:0.00, Output: -15.35, linear: 0.00, LSteps: -365, RSteps: 35, RPM: 2.58
34:52.1,Gyro: -0.30, Setpoint:0.00, Output: -15.52, linear: 0.00, LSteps: -365, RSteps: 35, RPM: 2.58
34:52.2,Gyro: -0.26, Setpoint:0.00, Output: -15.52, linear: 0.00, LSteps: -365, RSteps: 35, RPM: 2.58
34:52.2,Gyro: -0.23, Setpoint:0.00, Output: -15.95, linear: 0.00, LSteps: -365, RSteps: 35, RPM: 2.58
34:52.2,Gyro: -0.21, Setpoint:0.00, Output: -16.01, linear: 0.00, LSteps: -366, RSteps: 34, RPM: 2.51
34:52.2,Gyro: -0.21, Setpoint:0.00, Output: -16.01, linear: 0.00, LSteps: -366, RSteps: 34, RPM: 2.51
34:52.2,Gyro: -0.17, Setpoint:0.00, Output: -16.25, linear: 0.00, LSteps: -366, RSteps: 34, RPM: 2.51
34:52.2,Gyro: -0.15, Setpoint:0.00, Output: -16.28, linear: 0.00, LSteps: -366, RSteps: 34, RPM: 2.51
34:52.2,Gyro: -0.15, Setpoint:0.00, Output: -16.28, linear: 0.00, LSteps: -367, RSteps: 33, RPM: 3.06
34:52.2,Gyro: -0.14, Setpoint:0.00, Output: -16.26, linear: 0.00, LSteps: -367, RSteps: 33, RPM: 3.06
34:52.2,Gyro: -0.14, Setpoint:0.00, Output: -16.25, linear: 0.00, LSteps: -367, RSteps: 33, RPM: 3.06
34:52.2,Gyro: -0.14, Setpoint:0.00, Output: -16.19, linear: 0.00, LSteps: -367, RSteps: 33, RPM: 3.06
34:52.2,Gyro: -0.14, Setpoint:0.00, Output: -16.19, linear: 0.00, LSteps: -367, RSteps: 33, RPM: 3.06
34:52.3,Gyro: -0.15, Setpoint:0.00, Output: -16.01, linear: 0.00, LSteps: -368, RSteps: 32, RPM: 2.72
34:52.3,Gyro: -0.17, Setpoint:0.00, Output: -15.82, linear: 0.00, LSteps: -368, RSteps: 32, RPM: 2.72
34:52.3,Gyro: -0.17, Setpoint:0.00, Output: -15.82, linear: 0.00, LSteps: -368, RSteps: 32, RPM: 2.72
34:52.3,Gyro: -0.21, Setpoint:0.00, Output: -15.57, linear: 0.00, LSteps: -368, RSteps: 32, RPM: 2.72
34:52.3,Gyro: -0.24, Setpoint:0.00, Output: -15.08, linear: 0.00, LSteps: -368, RSteps: 32, RPM: 2.72
34:52.3,Gyro: -0.24, Setpoint:0.00, Output: -15.08, linear: 0.00, LSteps: -369, RSteps: 31, RPM: 2.58
34:52.3,Gyro: -0.27, Setpoint:0.00, Output: -14.75, linear: 0.00, LSteps: -369, RSteps: 31, RPM: 2.58
34:52.3,Gyro: -0.33, Setpoint:0.00, Output: -14.11, linear: 0.00, LSteps: -369, RSteps: 31, RPM: 2.58
34:52.3,Gyro: -0.33, Setpoint:0.00, Output: -14.11, linear: 0.00, LSteps: -369, RSteps: 31, RPM: 2.58
34:52.3,Gyro: -0.37, Setpoint:0.00, Output: -13.62, linear: 0.00, LSteps: -369, RSteps: 30, RPM: 2.88
34:52.4,Gyro: -0.45, Setpoint:0.00, Output: -12.76, linear: 0.00, LSteps: -370, RSteps: 30, RPM: 2.88
34:52.4,Gyro: -0.45, Setpoint:0.00, Output: -12.76, linear: 0.00, LSteps: -370, RSteps: 30, RPM: 2.88
34:52.4,Gyro: -0.50, Setpoint:0.00, Output: -12.21, linear: 0.00, LSteps: -370, RSteps: 30, RPM: 2.88
34:52.4,Gyro: -0.60, Setpoint:0.00, Output: -11.57, linear: 0.00, LSteps: -371, RSteps: 29, RPM: 3.06
34:52.4,Gyro: -0.60, Setpoint:0.00, Output: -11.57, linear: 0.00, LSteps: -371, RSteps: 29, RPM: 3.06
34:52.4,Gyro: -0.65, Setpoint:0.00, Output: -10.46, linear: 0.00, LSteps: -371, RSteps: 29, RPM: 3.06
34:52.4,Gyro: -0.71, Setpoint:0.00, Output: -9.71, linear: 0.00, LSteps: -371, RSteps: 29, RPM: 3.06
34:52.4,Gyro: -0.76, Setpoint:0.00, Output: -9.71, linear: 0.00, LSteps: -371, RSteps: 29, RPM: 3.06
34:52.4,Gyro: -0.83, Setpoint:0.00, Output: -8.41, linear: 0.00, LSteps: -371, RSteps: 28, RPM: 2.45
34:52.4,Gyro: -0.89, Setpoint:0.00, Output: -7.51, linear: 0.00, LSteps: -372, RSteps: 28, RPM: 2.45
34:52.5,Gyro: -0.89, Setpoint:0.00, Output: -7.51, linear: 0.00, LSteps: -372, RSteps: 28, RPM: 2.45
34:52.5,Gyro: -1.03, Setpoint:0.00, Output: -6.52, linear: 0.00, LSteps: -372, RSteps: 28, RPM: 2.45
34:52.5,Gyro: -1.10, Setpoint:0.00, Output: -4.93, linear: 0.00, LSteps: -372, RSteps: 28, RPM: 2.45
34:52.5,Gyro: -1.10, Setpoint:0.00, Output: -4.93, linear: 0.00, LSteps: -372, RSteps: 28, RPM: 2.45
34:52.5,Gyro: -1.18, Setpoint:0.00, Output: -3.79, linear: 0.00, LSteps: -373, RSteps: 27, RPM: 2.51
34:52.5,Gyro: -1.34, Setpoint:0.00, Output: -1.93, linear: 0.00, LSteps: -373, RSteps: 27, RPM: 2.51
34:52.5,Gyro: -1.34, Setpoint:0.00, Output: -1.93, linear: 0.00, LSteps: -373, RSteps: 27, RPM: 2.51
34:52.5,Gyro: -1.43, Setpoint:0.00, Output: -0.57, linear: 0.00, LSteps: -373, RSteps: 27, RPM: 2.51
34:52.5,Gyro: -1.62, Setpoint:0.00, Output: 0.84, linear: 0.00, LSteps: -373, RSteps: 27, RPM: 2.51
34:52.5,Gyro: -1.62, Setpoint:0.00, Output: 0.84, linear: 0.00, LSteps: -373, RSteps: 28, RPM: 2.51
34:52.5,Gyro: -1.72, Setpoint:0.00, Output: 3.15, linear: 0.00, LSteps: -373, RSteps: 28, RPM: 2.51
34:52.6,Gyro: -1.94, Setpoint:0.00, Output: 4.81, linear: 0.00, LSteps: -372, RSteps: 28, RPM: 1.74
34:52.6,Gyro: -1.94, Setpoint:0.00, Output: 4.81, linear: 0.00, LSteps: -359, RSteps: 28, RPM: 165.20
34:52.6,Gyro: -2.05, Setpoint:0.00, Output: 7.48, linear: 0.00, LSteps: -357, RSteps: 29, RPM: 165.42
34:52.6,Gyro: -2.17, Setpoint:0.00, Output: 9.41, linear: 0.00, LSteps: -357, RSteps: 29, RPM: 165.42
34:52.6,Gyro: -2.17, Setpoint:0.00, Output: 9.41, linear: 0.00, LSteps: -356, RSteps: 29, RPM: 6.52
34:52.6,Gyro: -2.43, Setpoint:0.00, Output: 12.53, linear: 0.00, LSteps: -356, RSteps: 29, RPM: 6.52
34:52.6,Gyro: -2.57, Setpoint:0.00, Output: 14.80, linear: 0.00, LSteps: -356, RSteps: 29, RPM: 6.52
34:52.6,Gyro: -2.57, Setpoint:0.00, Output: 14.80, linear: 0.00, LSteps: -356, RSteps: 30, RPM: 6.52
34:52.6,Gyro: -2.88, Setpoint:0.00, Output: 17.26, linear: 0.00, LSteps: -355, RSteps: 31, RPM: 3.38
34:52.6,Gyro: -3.06, Setpoint:0.00, Output: 21.27, linear: 0.00, LSteps: -355, RSteps: 31, RPM: 3.38
34:52.7,Gyro: -3.06, Setpoint:0.00, Output: 21.27, linear: 0.00, LSteps: -355, RSteps: 31, RPM: 3.38
34:52.7,Gyro: -3.25, Setpoint:0.00, Output: 24.24, linear: 0.00, LSteps: -355, RSteps: 31, RPM: 3.38
34:52.7,Gyro: -3.66, Setpoint:0.00, Output: 29.12, linear: 0.00, LSteps: -355, RSteps: 31, RPM: 3.38
34:52.7,Gyro: -3.66, Setpoint:0.00, Output: 29.12, linear: 0.00, LSteps: -354, RSteps: 31, RPM: 2.51
34:52.7,Gyro: -3.90, Setpoint:0.00, Output: 32.77, linear: 0.00, LSteps: -354, RSteps: 32, RPM: 2.51
34:52.7,Gyro: -4.42, Setpoint:0.00, Output: 36.71, linear: 0.00, LSteps: -354, RSteps: 33, RPM: 2.51
34:52.7,Gyro: -4.42, Setpoint:0.00, Output: 36.71, linear: 0.00, LSteps: -354, RSteps: 33, RPM: 2.51
34:52.7,Gyro: -4.62, Setpoint:0.00, Output: 42.37, linear: 0.00, LSteps: -354, RSteps: 35, RPM: 2.51
34:52.7,Gyro: -4.83, Setpoint:0.00, Output: 45.40, linear: 0.00, LSteps: -353, RSteps: 35, RPM: 2.40
34:52.7,Gyro: -4.83, Setpoint:0.00, Output: 45.40, linear: 0.00, LSteps: -352, RSteps: 36, RPM: 12.42
34:52.7,Gyro: -4.95, Setpoint:0.00, Output: 49.44, linear: 0.00, LSteps: -350, RSteps: 38, RPM: 16.69
34:52.8,Gyro: -5.09, Setpoint:0.00, Output: 52.91, linear: 0.00, LSteps: -350, RSteps: 39, RPM: 16.69
34:52.8,Gyro: -4.94, Setpoint:0.00, Output: 55.33, linear: 0.00, LSteps: -347, RSteps: 41, RPM: 697.22
34:52.8,Gyro: -4.94, Setpoint:0.00, Output: 55.33, linear: 0.00, LSteps: -344, RSteps: 43, RPM: 25.22
34:52.8,Gyro: -4.73, Setpoint:0.00, Output: 54.81, linear: 0.00, LSteps: -344, RSteps: 46, RPM: 27.63
34:52.8,Gyro: -4.53, Setpoint:0.00, Output: 55.40, linear: 0.00, LSteps: -341, RSteps: 47, RPM: 27.63
34:52.8,Gyro: -4.26, Setpoint:0.00, Output: 55.40, linear: 0.00, LSteps: -338, RSteps: 50, RPM: 29.35
34:52.8,Gyro: -3.93, Setpoint:0.00, Output: 52.70, linear: 0.00, LSteps: -337, RSteps: 54, RPM: 30.25
34:52.8,Gyro: -3.54, Setpoint:0.00, Output: 51.42, linear: 0.00, LSteps: -334, RSteps: 54, RPM: 30.25
34:52.8,Gyro: -3.54, Setpoint:0.00, Output: 51.42, linear: 0.00, LSteps: -331, RSteps: 57, RPM: 31.17
34:52.8,Gyro: -2.68, Setpoint:0.00, Output: 46.17, linear: 0.00, LSteps: -330, RSteps: 62, RPM: 31.08
34:52.9,Gyro: -2.26, Setpoint:0.00, Output: 44.05, linear: 0.00, LSteps: -327, RSteps: 62, RPM: 31.08
34:52.9,Gyro: -2.26, Setpoint:0.00, Output: 44.05, linear: 0.00, LSteps: -324, RSteps: 65, RPM: 29.20
34:52.9,Gyro: -1.49, Setpoint:0.00, Output: 42.00, linear: 0.00, LSteps: -323, RSteps: 68, RPM: 27.53
34:52.9,Gyro: -1.12, Setpoint:0.00, Output: 36.75, linear: 0.00, LSteps: -320, RSteps: 68, RPM: 27.54
34:52.9,Gyro: -1.12, Setpoint:0.00, Output: 36.75, linear: 0.00, LSteps: -318, RSteps: 71, RPM: 26.25
34:52.9,Gyro: -0.73, Setpoint:0.00, Output: 34.16, linear: 0.00, LSteps: -315, RSteps: 73, RPM: 23.40
34:52.9,Gyro: -0.03, Setpoint:0.00, Output: 28.81, linear: 0.00, LSteps: -314, RSteps: 74, RPM: 24.05
34:52.9,Gyro: -0.03, Setpoint:0.00, Output: 28.81, linear: 0.00, LSteps: -312, RSteps: 76, RPM: 21.44
34:52.9,Gyro: 0.29, Setpoint:0.00, Output: 26.29, linear: 0.00, LSteps: -310, RSteps: 78, RPM: 18.59
34:52.9,Gyro: 0.85, Setpoint:0.00, Output: 23.79, linear: 0.00, LSteps: -310, RSteps: 78, RPM: 18.59
34:52.9,Gyro: 0.85, Setpoint:0.00, Output: 23.79, linear: 0.00, LSteps: -307, RSteps: 81, RPM: 22.34
34:53.0,Gyro: 1.10, Setpoint:0.00, Output: 19.35, linear: 0.00, LSteps: -306, RSteps: 82, RPM: 15.81
34:53.0,Gyro: 1.34, Setpoint:0.00, Output: 16.86, linear: 0.00, LSteps: -305, RSteps: 83, RPM: 13.89
34:53.0,Gyro: 1.79, Setpoint:0.00, Output: 12.57, linear: 0.00, LSteps: -304, RSteps: 84, RPM: 14.61
34:53.0,Gyro: 1.79, Setpoint:0.00, Output: 12.57, linear: 0.00, LSteps: -303, RSteps: 85, RPM: 11.12
34:53.0,Gyro: 1.89, Setpoint:0.00, Output: 10.99, linear: 0.00, LSteps: -303, RSteps: 86, RPM: 10.48
34:53.0,Gyro: 1.69, Setpoint:0.00, Output: 10.73, linear: 0.00, LSteps: -302, RSteps: 86, RPM: 10.48
34:53.0,Gyro: 1.69, Setpoint:0.00, Output: 10.73, linear: 0.00, LSteps: -301, RSteps: 87, RPM: 6.91
34:53.0,Gyro: 1.57, Setpoint:0.00, Output: 11.81, linear: 0.00, LSteps: -301, RSteps: 88, RPM: 6.91
34:53.0,Gyro: 1.43, Setpoint:0.00, Output: 12.21, linear: 0.00, LSteps: -301, RSteps: 88, RPM: 6.91
34:53.0,Gyro: 1.27, Setpoint:0.00, Output: 12.21, linear: 0.00, LSteps: -301, RSteps: 88, RPM: 6.91
34:53.1,Gyro: 1.13, Setpoint:0.00, Output: 13.97, linear: 0.00, LSteps: -301, RSteps: 88, RPM: 6.91
34:53.1,Gyro: 0.86, Setpoint:0.00, Output: 15.57, linear: 0.00, LSteps: -301, RSteps: 88, RPM: 6.91
34:53.1,Gyro: 0.86, Setpoint:0.00, Output: 15.57, linear: 0.00, LSteps: -301, RSteps: 89, RPM: 6.91
34:53.1,Gyro: 0.13, Setpoint:0.00, Output: 21.10, linear: 0.00, LSteps: -301, RSteps: 89, RPM: 6.91
34:53.1,Gyro: -0.24, Setpoint:0.00, Output: 24.04, linear: 0.00, LSteps: -301, RSteps: 89, RPM: 6.91
34:53.1,Gyro: -0.24, Setpoint:0.00, Output: 24.04, linear: 0.00, LSteps: -301, RSteps: 89, RPM: 6.91
34:53.1,Gyro: -0.97, Setpoint:0.00, Output: 27.11, linear: 0.00, LSteps: -301, RSteps: 89, RPM: 6.91
34:53.1,Gyro: -1.33, Setpoint:0.00, Output: 33.26, linear: 0.00, LSteps: -301, RSteps: 90, RPM: 6.91
34:53.1,Gyro: -1.33, Setpoint:0.00, Output: 33.26, linear: 0.00, LSteps: -300, RSteps: 90, RPM: 1.10
34:53.1,Gyro: -1.71, Setpoint:0.00, Output: 36.88, linear: 0.00, LSteps: -300, RSteps: 90, RPM: 6.40
34:53.1,Gyro: -2.49, Setpoint:0.00, Output: 43.99, linear: 0.00, LSteps: -299, RSteps: 90, RPM: 6.40
34:53.2,Gyro: -2.49, Setpoint:0.00, Output: 43.99, linear: 0.00, LSteps: -297, RSteps: 92, RPM: 106.46
34:53.2,Gyro: -2.93, Setpoint:0.00, Output: 48.72, linear: 0.00, LSteps: -297, RSteps: 94, RPM: 16.34
34:53.2,Gyro: -3.26, Setpoint:0.00, Output: 52.20, linear: 0.00, LSteps: -295, RSteps: 94, RPM: 16.34
34:53.2,Gyro: -3.26, Setpoint:0.00, Output: 52.20, linear: 0.00, LSteps: -293, RSteps: 96, RPM: 19.82
34:53.2,Gyro: -3.23, Setpoint:0.00, Output: 54.05, linear: 0.00, LSteps: -292, RSteps: 99, RPM: 24.79
34:53.2,Gyro: -3.13, Setpoint:0.00, Output: 54.75, linear: 0.00, LSteps: -290, RSteps: 100, RPM: 24.79
34:53.2,Gyro: -2.92, Setpoint:0.00, Output: 54.75, linear: 0.00, LSteps: -287, RSteps: 103, RPM: 26.03
34:53.2,Gyro: -2.63, Setpoint:0.00, Output: 52.15, linear: 0.00, LSteps: -287, RSteps: 105, RPM: 28.05
34:53.2,Gyro: -2.30, Setpoint:0.00, Output: 50.77, linear: 0.00, LSteps: -284, RSteps: 106, RPM: 28.05
34:53.2,Gyro: -1.47, Setpoint:0.00, Output: 48.71, linear: 0.00, LSteps: -279, RSteps: 109, RPM: 32.03
34:53.3,Gyro: -1.47, Setpoint:0.00, Output: 48.71, linear: 0.00, LSteps: -276, RSteps: 112, RPM: 30.58
34:53.3,Gyro: -1.01, Setpoint:0.00, Output: 42.33, linear: 0.00, LSteps: -276, RSteps: 115, RPM: 29.52
34:53.3,Gyro: -0.55, Setpoint:0.00, Output: 39.07, linear: 0.00, LSteps: -273, RSteps: 116, RPM: 28.43
34:53.3,Gyro: -0.11, Setpoint:0.00, Output: 39.07, linear: 0.00, LSteps: -270, RSteps: 119, RPM: 26.45
34:53.3,Gyro: 0.30, Setpoint:0.00, Output: 32.46, linear: 0.00, LSteps: -269, RSteps: 122, RPM: 25.58
34:53.3,Gyro: 0.72, Setpoint:0.00, Output: 28.92, linear: 0.00, LSteps: -266, RSteps: 123, RPM: 24.03
34:53.3,Gyro: 0.72, Setpoint:0.00, Output: 28.92, linear: 0.00, LSteps: -264, RSteps: 124, RPM: 20.54
34:53.3,Gyro: 1.55, Setpoint:0.00, Output: 25.18, linear: 0.00, LSteps: -264, RSteps: 128, RPM: 80.83
34:53.3,Gyro: 1.94, Setpoint:0.00, Output: 18.24, linear: 0.00, LSteps: -261, RSteps: 128, RPM: 80.83
34:53.3,Gyro: 2.31, Setpoint:0.00, Output: 14.34, linear: 0.00, LSteps: -259, RSteps: 130, RPM: 15.51
34:53.3,Gyro: 2.31, Setpoint:0.00, Output: 14.34, linear: 0.00, LSteps: -258, RSteps: 131, RPM: 12.51
34:53.4,Gyro: 3.04, Setpoint:0.00, Output: 7.34, linear: 0.00, LSteps: -258, RSteps: 131, RPM: 12.51
34:53.4,Gyro: 3.42, Setpoint:0.00, Output: 2.82, linear: 0.00, LSteps: -257, RSteps: 132, RPM: 13.34
34:53.4,Gyro: 3.42, Setpoint:0.00, Output: 2.82, linear: 0.00, LSteps: -255, RSteps: 132, RPM: 23.83
34:53.4,Gyro: 3.73, Setpoint:0.00, Output: -1.28, linear: 0.00, LSteps: -255, RSteps: 132, RPM: 23.83
34:53.4,Gyro: 3.64, Setpoint:0.00, Output: -2.30, linear: 0.00, LSteps: -255, RSteps: 132, RPM: 23.83
34:53.4,Gyro: 3.64, Setpoint:0.00, Output: -2.30, linear: 0.00, LSteps: -255, RSteps: 131, RPM: 23.83
34:53.4,Gyro: 3.58, Setpoint:0.00, Output: -3.49, linear: 0.00, LSteps: -256, RSteps: 130, RPM: 165.18
34:53.4,Gyro: 3.23, Setpoint:0.00, Output: -2.36, linear: 0.00, LSteps: -275, RSteps: 130, RPM: 164.51
34:53.4,Gyro: 3.23, Setpoint:0.00, Output: -2.36, linear: 0.00, LSteps: -275, RSteps: 130, RPM: 164.51
34:53.4,Gyro: 3.00, Setpoint:0.00, Output: -2.08, linear: 0.00, LSteps: -275, RSteps: 130, RPM: 164.51
34:53.5,Gyro: 2.62, Setpoint:0.00, Output: -0.42, linear: 0.00, LSteps: -275, RSteps: 130, RPM: 164.51
34:53.5,Gyro: 2.62, Setpoint:0.00, Output: -0.42, linear: 0.00, LSteps: -275, RSteps: 129, RPM: 164.51
34:53.5,Gyro: 2.50, Setpoint:0.00, Output: -0.70, linear: 0.00, LSteps: -275, RSteps: 129, RPM: 164.51
34:53.5,Gyro: 2.36, Setpoint:0.00, Output: -1.21, linear: 0.00, LSteps: -275, RSteps: 129, RPM: 164.51
34:53.5,Gyro: 2.36, Setpoint:0.00, Output: -1.21, linear: 0.00, LSteps: -275, RSteps: 129, RPM: 164.51
34:53.5,Gyro: 2.31, Setpoint:0.00, Output: -1.44, linear: 0.00, LSteps: -275, RSteps: 128, RPM: 164.51
34:53.5,Gyro: 2.26, Setpoint:0.00, Output: -2.13, linear: 0.00, LSteps: -275, RSteps: 128, RPM: 164.51
34:53.5,Gyro: 2.20, Setpoint:0.00, Output: -2.74, linear: 0.00, LSteps: -275, RSteps: 128, RPM: 164.51
34:53.5,Gyro: 2.20, Setpoint:0.00, Output: -2.74, linear: 0.00, LSteps: -275, RSteps: 128, RPM: 164.51
34:53.5,Gyro: 2.19, Setpoint:0.00, Output: -3.72, linear: 0.00, LSteps: -276, RSteps: 127, RPM: 165.26
34:53.6,Gyro: 2.21, Setpoint:0.00, Output: -4.76, linear: 0.00, LSteps: -295, RSteps: 127, RPM: 163.49
34:53.6,Gyro: 2.21, Setpoint:0.00, Output: -4.76, linear: 0.00, LSteps: -310, RSteps: 127, RPM: 165.25
34:53.6,Gyro: 2.24, Setpoint:0.00, Output: -6.15, linear: 0.00, LSteps: -314, RSteps: 127, RPM: 165.25
34:53.6,Gyro: 2.27, Setpoint:0.00, Output: -7.48, linear: 0.00, LSteps: -327, RSteps: 127, RPM: 82.62
34:53.6,Gyro: 2.32, Setpoint:0.00, Output: -7.48, linear: 0.00, LSteps: -327, RSteps: 126, RPM: 82.62
34:53.6,Gyro: 2.38, Setpoint:0.00, Output: -9.46, linear: 0.00, LSteps: -327, RSteps: 126, RPM: 5.11
34:53.6,Gyro: 2.45, Setpoint:0.00, Output: -11.15, linear: 0.00, LSteps: -328, RSteps: 126, RPM: 5.11
34:53.6,Gyro: 2.45, Setpoint:0.00, Output: -11.15, linear: 0.00, LSteps: -328, RSteps: 126, RPM: 5.11
34:53.6,Gyro: 2.63, Setpoint:0.00, Output: -12.99, linear: 0.00, LSteps: -329, RSteps: 126, RPM: 4.47
34:53.6,Gyro: 2.73, Setpoint:0.00, Output: -15.78, linear: 0.00, LSteps: -329, RSteps: 126, RPM: 4.47
34:53.7,Gyro: 2.86, Setpoint:0.00, Output: -18.08, linear: 0.00, LSteps: -329, RSteps: 126, RPM: 4.47
34:53.7,Gyro: 2.97, Setpoint:0.00, Output: -18.08, linear: 0.00, LSteps: -329, RSteps: 126, RPM: 4.47
34:53.7,Gyro: 3.10, Setpoint:0.00, Output: -21.36, linear: 0.00, LSteps: -329, RSteps: 126, RPM: 4.47
34:53.7,Gyro: 3.25, Setpoint:0.00, Output: -24.07, linear: 0.00, LSteps: -329, RSteps: 126, RPM: 4.47
34:53.7,Gyro: 3.25, Setpoint:0.00, Output: -24.07, linear: 0.00, LSteps: -329, RSteps: 126, RPM: 4.47
34:53.7,Gyro: 3.57, Setpoint:0.00, Output: -26.79, linear: 0.00, LSteps: -329, RSteps: 126, RPM: 4.47
34:53.7,Gyro: 3.74, Setpoint:0.00, Output: -31.11, linear: 0.00, LSteps: -329, RSteps: 126, RPM: 4.47
34:53.7,Gyro: 3.74, Setpoint:0.00, Output: -31.11, linear: 0.00, LSteps: -329, RSteps: 126, RPM: 4.47
34:53.7,Gyro: 3.92, Setpoint:0.00, Output: -34.35, linear: 0.00, LSteps: -329, RSteps: 126, RPM: 4.47
34:53.7,Gyro: 4.37, Setpoint:0.00, Output: -39.84, linear: 0.00, LSteps: -329, RSteps: 126, RPM: 4.47
34:53.7,Gyro: 4.37, Setpoint:0.00, Output: -39.84, linear: 0.00, LSteps: -330, RSteps: 126, RPM: 1.14
34:53.8,Gyro: 4.60, Setpoint:0.00, Output: -43.76, linear: 0.00, LSteps: -330, RSteps: 125, RPM: 7.95
34:53.8,Gyro: 5.10, Setpoint:0.00, Output: -47.91, linear: 0.00, LSteps: -332, RSteps: 125, RPM: 11.37
34:53.8,Gyro: 5.10, Setpoint:0.00, Output: -47.91, linear: 0.00, LSteps: -333, RSteps: 124, RPM: 15.87
34:53.8,Gyro: 5.25, Setpoint:0.00, Output: -53.44, linear: 0.00, LSteps: -333, RSteps: 122, RPM: 19.34
